campaign_id,maker_user_id_hash,title,when_open,start_datetime,end_datetime,product_type,photo_url,nick_name,corp_name,participation_cnt,total_backed_amount,target_amount,achievement_rate,signature_cnt,remaining_day,end_yn,core_message,cust_value_code_nm,advertisement,acid,landing_url,link_url,additional_param,badge_urls,collection_id,maker_club_grade,maker_club_icon_url,is_delivery_available,is_global_shipping_available,has_coupon,category_code,category_name,status,wish_cnt,comment_cnt,positive_comment_cnt,neutral_comment_cnt,negative_comment_cnt,detail_view_cnt,maker_name,biz_model,status_simplified,total_funding_amount,avg_order_amount,wish_to_participation_rate,view_to_participation_rate,negative_rate,positive_rate
397146,m_b8caef5fe02b,노트북 책상을 깔끔하게 만드는 바이브 멀티 허브,2026-04-26T11:59:59+09:00,2026-04-26T11:59:59,2026-06-25T11:59:59,REWARD,https://demo-assets.example.invalid/studio/images/2026/04/397146.jpeg,청연,청연,21,1250000,5000000,25,10,46,0,주변기기 카테고리에서 일상 문제를 해결하는 바이브 프로젝트입니다.,주변기기,False,0,https://demo-source.example.invalid/web/campaign/detail/397146,/web/campaign/detail/397146,,[],,,,True,False,False,B0070,주변기기,success,6,6,3,2,1,5223,청연,REWARD,진행중,1250000,59524,3.5,0.00402067777139575,0.16666666666666666,0.5
402626,m_53f13fbbfb96,출근길 배터리 걱정 없는 초경량 에센셜 보조배터리,2026-04-26T12:59:59+09:00,2026-04-26T12:59:59,2026-06-25T12:59:59,PREORDER,https://demo-assets.example.invalid/studio/images/2026/04/402626.jpeg,주식회사 온하루,주식회사 온하루,144,1100000,5000000,22,56,46,0,주변기기 카테고리에서 일상 문제를 해결하는 에센셜 프로젝트입니다.,주변기기,False,0,https://demo-source.example.invalid/web/campaign/detail/402626,/web/campaign/detail/402626,,[],,BLUE,,True,False,False,B0070,주변기기,success,20,33,19,11,3,5803,주식회사 온하루,PREORDER,진행중,1100000,7639,7.2,0.02481475099086679,0.09090909090909091,0.5757575757575758
395073,m_8c963a9f33b8,집에서도 가능한 컴팩트 초경량 트레이닝 세트,2026-05-10T07:59:59+09:00,2026-05-10T07:59:59,2026-06-24T07:59:59,REWARD,https://demo-assets.example.invalid/studio/images/2026/04/395073.jpeg,온하루,온하루,142,10800000,20000000,54,54,45,0,스포츠·모빌리티 카테고리에서 일상 문제를 해결하는 초경량 프로젝트입니다.,스포츠·모빌리티,False,0,https://demo-source.example.invalid/web/campaign/detail/395073,/web/campaign/detail/395073,,[],,,,True,False,True,B0160,스포츠·모빌리티,success,23,23,10,9,4,3399,온하루,REWARD,진행중,10800000,76056,6.173913043478261,0.041776993233303916,0.17391304347826086,0.43478260869565216
399525,m_64b2105c55bc,정선 사북의 특별한 이야기를 담은 시그니처 베이커리,2026-05-09T19:59:59+09:00,2026-05-09T19:59:59,2026-06-23T19:59:59,PREORDER,https://demo-assets.example.invalid/studio/images/2026/04/399525.jpeg,메이커 브레바,메이커 브레바,386,22300000,5000000,446,86,44,0,푸드 카테고리에서 일상 문제를 해결하는 시그니처 프로젝트입니다.,푸드,False,0,https://demo-source.example.invalid/web/campaign/detail/399525,/web/campaign/detail/399525,,[],,,,True,False,False,B0150,푸드,success,24,67,44,14,9,39526,메이커 브레바,PREORDER,진행중,22300000,57772,16.083333333333332,0.009765723827354147,0.13432835820895522,0.6567164179104478
396246,m_a92d38bb4516,매일 들어도 가벼운 생활방수 데일리 백팩,2026-05-09T01:59:59+09:00,2026-05-09T01:59:59,2026-06-23T01:59:59,PREORDER,https://demo-assets.example.invalid/studio/images/2026/04/396246.jpeg,브랜드 로컬랩,브랜드 로컬랩,12,340000,1000000,34,1,44,0,패션·잡화 카테고리에서 일상 문제를 해결하는 데일리 프로젝트입니다.,패션·잡화,False,0,https://demo-source.example.invalid/web/campaign/detail/396246,/web/campaign/detail/396246,,[],,,,True,False,True,B0170,패션·잡화,success,0,1,1,0,0,1713,브랜드 로컬랩,PREORDER,진행중,340000,28333,0.0,0.0070052539404553416,0.0,1.0
400890,m_bd91222b8f34,출근길 배터리 걱정 없는 초경량 프로 보조배터리,2026-05-07T23:59:59+09:00,2026-05-07T23:59:59,2026-06-21T23:59:59,REWARD,https://demo-assets.example.invalid/studio/images/2026/04/400890.jpeg,브랜드 리디아,브랜드 리디아,229,1800000,5000000,36,102,42,0,주변기기 카테고리에서 일상 문제를 해결하는 프로 프로젝트입니다.,주변기기,False,0,https://demo-source.example.invalid/web/campaign/detail/400890,/web/campaign/detail/400890,,[],,GREEN,,True,False,False,B0070,주변기기,success,39,57,30,18,9,12199,브랜드 리디아,REWARD,진행중,1800000,7860,5.871794871794871,0.018772030494302813,0.15789473684210525,0.5263157894736842
396600,m_95f2907743ee,작은 집도 넓게 쓰는 접이식 컴팩트 수납템,2026-05-05T10:59:59+09:00,2026-05-05T10:59:59,2026-06-19T10:59:59,PREORDER,https://demo-assets.example.invalid/studio/images/2026/04/396600.jpeg,스튜디오 브레바,스튜디오 브레바,799,67600000,20000000,338,124,40,0,홈리빙 카테고리에서 일상 문제를 해결하는 컴팩트 프로젝트입니다.,홈리빙,False,0,https://demo-source.example.invalid/web/campaign/detail/396600,/web/campaign/detail/396600,,[],,GREEN,,True,False,False,B0120,홈리빙,success,56,81,42,27,12,43234,스튜디오 브레바,PREORDER,진행중,67600000,84606,14.267857142857142,0.01848082527640283,0.14814814814814814,0.5185185185185185
395147,m_f2f775e4c40a,출근길 배터리 걱정 없는 초경량 프리미엄 보조배터리,2026-05-02T15:59:59+09:00,2026-05-02T15:59:59,2026-06-16T15:59:59,REWARD,https://demo-assets.example.invalid/studio/images/2026/04/395147.jpeg,무딕스,무딕스,118,7600000,5000000,152,56,37,0,주변기기 카테고리에서 일상 문제를 해결하는 프리미엄 프로젝트입니다.,주변기기,False,0,https://demo-source.example.invalid/web/campaign/detail/395147,/web/campaign/detail/395147,,[],,,,False,False,True,B0070,주변기기,success,14,27,15,8,4,8817,무딕스,REWARD,진행중,7600000,64407,8.428571428571429,0.013383236928660542,0.14814814814814814,0.5555555555555556
402294,m_e8c5c503ec42,선물하기 좋은 프리미엄 컴팩트 디저트 세트,2026-04-16T02:59:59+09:00,2026-04-16T02:59:59,2026-06-15T02:59:59,PREORDER,https://demo-assets.example.invalid/studio/images/2026/04/402294.jpeg,스튜디오 리빙온,스튜디오 리빙온,443,18520000,1000000,1852,74,36,0,푸드 카테고리에서 일상 문제를 해결하는 컴팩트 프로젝트입니다.,푸드,False,0,https://demo-source.example.invalid/web/campaign/detail/402294,/web/campaign/detail/402294,,[],,,,True,False,True,B0150,푸드,success,25,59,35,16,8,14810,스튜디오 리빙온,PREORDER,진행중,18520000,41806,17.72,0.029912221471978393,0.13559322033898305,0.5932203389830508
401123,m_8a8f739f8af6,기록 습관을 만드는 감성 클린 다이어리,2026-04-29T22:59:59+09:00,2026-04-29T22:59:59,2026-06-13T22:59:59,REWARD,https://demo-assets.example.invalid/studio/images/2026/04/401123.jpeg,온하루,온하루 컴퍼니,18,1230000,3000000,41,9,34,0,출판 카테고리에서 일상 문제를 해결하는 클린 프로젝트입니다.,출판,False,0,https://demo-source.example.invalid/web/campaign/detail/401123,/web/campaign/detail/401123,,[],,,,True,False,False,B0110,출판,success,5,0,0,0,0,4450,온하루 컴퍼니,REWARD,진행중,1230000,68333,3.6,0.004044943820224719,0.0,0.0
